,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
222,W8_2007_4,C4,#67ACE6,o,20,0.6,7.8,189.0,3.7,77.8,0,204.0,0,145.0,110.0,773.41
223,W8_2008_9,C4,#67ACE6,o,20,0.6,7.5,128.0,40.4,111.0,0,240.0,0,132.0,159.0,831.0
224,W8_2009_4,C4,#67ACE6,o,20,0.6,7.5,207.3,14.5,108.0,0,245.0,0,174.0,147.0,930.1
225,W8_2011_4,C3,#89C667,o,20,0.6,7.8,65.0,23.2,136.09,0,238.6,0,143.0,248.0,1219.89
226,W8_2011_9,C3,#89C667,o,20,0.6,7.7,88.0,31.4,268.75,0,319.4,0,103.0,80.2,1028.62
227,W8_2012_4,C3,#89C667,o,20,0.6,7.3,65.0,23.2,157.0,0,310.7,0,92.4,83.6,1050.0
228,W8_2012_9,C3,#89C667,o,20,0.6,8.0,62.4,22.2,199.9,0,345.0,0,108.0,96.6,1002.0
229,W8_2013_7,C4,#67ACE6,o,20,0.6,7.7,157.64,45.18,85.25,0,157.34,0,179.07,175.9,1093.38
230,W8_2013_10,C4,#67ACE6,o,20,0.6,7.03,163.7,31.44,50.66,0,105.64,0,110.59,144.99,963.95
231,W8_2014_4,C4,#67ACE6,o,20,0.6,7.5,102.76,24.31,49.59,0,109.88,0,84.58,147.44,664.29
232,W8_2014_8,C4,#67ACE6,o,20,0.6,7.33,122.74,29.77,53.93,0,86.97,0,118.76,123.96,744.55
233,W8_2014_12,C4,#67ACE6,o,20,0.6,7.89,102.61,25.41,56.64,0,106.68,0,85.37,155.78,668.75
234,W8_2015_9,C3,#89C667,o,20,0.6,8.14,184.32,35.63,57.55,0,226.99,0,112.23,157.51,1068.97
235,W8_2016_6,C4,#67ACE6,o,20,0.6,7.0,166.98,28.79,57.67,0,261.67,0,155.6,178.91,1053.58
236,W8_2017_7,C2,#E9C832,o,20,0.6,7.76,232.98,40.37,58.0,0,202.02,0,197.86,231.33,1064.0
237,W8_2017_10,C4,#67ACE6,o,20,0.6,8.49,115.97,26.82,46.29,0,98.22,0,74.63,153.1,692.0
238,W11_2002_9,C4,#67ACE6,o,20,0.6,7.6,128.42,33.94,57.52,0,202.57,0,131.56,89.14,747.74
239,W11_2003_6,C4,#67ACE6,o,20,0.6,7.6,192.64,36.14,60.0,0,242.57,0,160.68,110.22,1108.2
240,W11_2004_9,C4,#67ACE6,o,20,0.6,7.6,149.0,45.7,69.1,0,253.0,0,127.0,97.5,975.0
241,W11_2005_4,C4,#67ACE6,o,20,0.6,7.7,146.0,53.4,54.2,0,149.0,0,120.0,100.0,992.0
